Initiative,Portfolio_Class,Current_Gate,Strategic_Fit_0_5,Problem_Evidence_0_5,Customer_Commitment_0_5,Feasibility_0_5,Economic_Evidence_0_5,Execution_Capacity_0_5,Residual_Risk,Provisional_Decision,Next_Required_Evidence,Decision_Owner,Review_Cycle
PEFY-GG Core Operating Platform,Operating Backbone,G0,5,5,5,3,4,3,Moderate,FUND_AND_SEQUENCE,"Approved architecture; process owners; phased budget; first live management dashboard",Executive Sponsor,Monthly
PEFY-GG Consulting and Assurance Offers,Cash and Credibility Engine,G5,5,5,4,5,4,4,Low,STANDARDIZE_AND_GROW,"Offer catalogue; pricing floor; delivery margin; CRM pipeline; reference evidence",Commercial Lead,Monthly
PEFY-LANG Professional Services,Cash and Credibility Engine,G5,4,5,4,5,4,4,Low,OPTIMIZE_FOR_CASH,"Segment profitability; SLA and quality metrics; cross-sell pipeline",Business Unit Lead,Monthly
EL-VECTOR,Flagship Scalable Venture,G2,5,5,3,4,3,4,Moderate,INTENSIVE_90_DAY_PILOT,"Signed pilot; representative users; priced offer; operational baseline; security validation",EL-VECTOR Venture Owner,Weekly
DOKPE 360,Strategic Option / Internal Capability,G2,4,4,2,3,2,3,Moderate,INTEGRATE_BEFORE_STANDALONE_SCALE,"Prove internal use; remove overlap with core platform; measurable project-management benefit",Portfolio Steering Committee,Monthly
SCPro OMNIA 360,Strategic Option,G1,4,4,2,3,2,2,High,HOLD_FOR_FOCUSED_VALIDATION,"Narrow target segment; employer commitment; placement evidence; operating economics",Venture Owner,Quarterly
EULYONIS OMNIA OS,Strategic Option,G1,5,4,1,3,2,2,High,HOLD_AND_PARTNER_VALIDATE,"Regulatory pathway; licensed partners; target-country pilot commitment; trust and unit economics",Venture Owner,Quarterly
JAKOYA 360,Strategic Option,G1,4,4,1,3,2,2,High,HOLD_AND_PARTNER_VALIDATE,"Telecom/VAS partner commitment; regulatory feasibility; technical proof; enterprise demand",Venture Owner,Quarterly
LYSCOM 360,Strategic Option,G1,4,4,2,3,2,2,High,VALIDATE_OPERATING_CONTRACT_FIRST,"Anchor client; workforce plan; telecom infrastructure costs; 12-month cash model",Venture Owner,Quarterly
Media Commerce Mobility and Education Initiatives,Strategic Options,G0,3,2,1,2,1,2,Moderate,ARCHIVE_OR_TIMEBOX,"One-page charter; named owner; next cheapest evidence; expiry date",Portfolio Steering Committee,Quarterly
Foundation and Social Impact Initiatives,Impact Portfolio,G0,5,3,2,3,2,3,Moderate,SEPARATE_IMPACT_GOVERNANCE,"Impact thesis; beneficiaries; funding model; safeguarding; measurable outcomes",Foundation Governance Lead,Quarterly
